micro_genre,macro_genre
8-bit,ELECTRONIC
a cappella,POP
abstract beats,HIP HOP
abstract hip hop,HIP HOP
acid house,ELECTRONIC
acid jazz,JAZZ
acoustic blues,BLUES
acoustic opm,FOLK
acoustic pop,POP
acoustic punk,ROCK
adoracao,OTHER
adult standards,POP
african rock,ROCK
afrikaans,FOLK
afro dancehall,REGGAE
afro house,ELECTRONIC
afrobeat,FOLK
afropop,POP
alabama indie,ROCK
alabama metal,METAL
alabama rap,HIP HOP
alaska indie,ROCK
alberta country,COUNTRY
album rock,ROCK
albuquerque indie,ROCK
alt-idol,OTHER
alternative americana,COUNTRY
alternative ccm,ROCK
alternative country,COUNTRY
alternative dance,ROCK
alternative emo,ROCK
alternative hip hop,HIP HOP
alternative metal,ROCK
alternative pop,POP
alternative pop rock,POP
alternative r&b,R&B
alternative rock,ROCK
alternative roots rock,ROCK
ambeat,ELECTRONIC
ambient,ELECTRONIC
ambient folk,ELECTRONIC
ambient techno,ELECTRONIC
ambient worship,ELECTRONIC
american choir,CLASSICAL
american contemporary classical,CLASSICAL
american folk revival,FOLK
american modern classical,CLASSICAL
american post-rock,ROCK
american romanticism,CLASSICAL
american shoegaze,ROCK
anarcho-punk,ROCK
anglican liturgy,CLASSICAL
anime,OTHER
anime score,CLASSICAL
ann arbor indie,ROCK
anthem emo,ROCK
anthem worship,R&B
anti-folk,FOLK
antiviral pop,POP
appalachian folk,FOLK
arab folk,FOLK
argentine punk,ROCK
argentine rock,ROCK
arkansas country,COUNTRY
art pop,POP
art rock,ROCK
athens indie,ROCK
atl hip hop,HIP HOP
atl trap,HIP HOP
atlanta indie,ROCK
atmosphere,OTHER
atmospheric black metal,METAL
atmospheric post-metal,ROCK
atmospheric sludge,METAL
auckland indie,ROCK
audiophile vocal,OTHER
aussietronica,ELECTRONIC
austindie,ROCK
australian alternative rock,ROCK
australian americana,COUNTRY
australian children's music,OTHER
australian country,COUNTRY
australian dance,ELECTRONIC
australian electropop,POP
australian hip hop,HIP HOP
australian house,ELECTRONIC
australian indie,ROCK
australian jazz,JAZZ
australian metal,METAL
australian metalcore,METAL
australian pop,POP
australian post-hardcore,ROCK
australian psych,OTHER
australian r&b,R&B
australian reggae fusion,JAZZ
australian rock,ROCK
australian talent show,POP
australian trap,HIP HOP
australian underground hip hop,HIP HOP
austropop,POP
avant-garde,AVANT-GARDE
avant-garde jazz,JAZZ
avantgarde metal,METAL
axe,LATIN
azonto,FOLK
bachata,LATIN
background music,OTHER
bagpipe,FOLK
baile pop,POP
balearic,ELECTRONIC
ballroom,OTHER
baltimore indie,ROCK
banda,LATIN
banda caliente,LATIN
banjo,FOLK
baroque,CLASSICAL
baroque ensemble,CLASSICAL
baroque pop,POP
bass house,ELECTRONIC
bass trap,HIP HOP
bass trip,ELECTRONIC
basshall,ELECTRONIC
bassline,ELECTRONIC
bath indie,ROCK
baton rouge rap,HIP HOP
battle rap,HIP HOP
bay area indie,ROCK
bboy,HIP HOP
beach music,R&B
bebop,JAZZ
bedroom pop,POP
belgian dance,ELECTRONIC
belgian edm,ELECTRONIC
belgian indie,ROCK
belgian modern jazz,JAZZ
belgian pop,POP
belgian rock,ROCK
beninese pop,POP
bergen indie,ROCK
big band,JAZZ
big beat,ELECTRONIC
big room,ELECTRONIC
birmingham grime,HIP HOP
birmingham metal,METAL
black metal,METAL
black thrash,METAL
blackgaze,ROCK
blaskapelle,OTHER
bluegrass,COUNTRY
blues,BLUES
blues-rock,ROCK
bmore,ELECTRONIC
bolero,LATIN
boogaloo,JAZZ
boogie-woogie,JAZZ
boom bap,HIP HOP
bossa nova,LATIN
bossa nova jazz,LATIN
boston hardcore,ROCK
boston hip hop,HIP HOP
boston metal,METAL
boston punk,ROCK
boston rock,ROCK
bounce,ELECTRONIC
bouzouki,FOLK
bow pop,POP
boy band,POP
boy pop,POP
brass band,CLASSICAL
brazilian edm,LATIN
brazilian gospel,LATIN
brazilian hip hop,HIP HOP
brazilian house,LATIN
brazilian indie,ROCK
brazilian metal,METAL
brazilian punk,ROCK
brazilian reggae,LATIN
brazilian rock,ROCK
brazilian thrash metal,METAL
breakbeat,ELECTRONIC
brighton indie,ROCK
brill building pop,POP
brit funk,R&B
british alternative rock,ROCK
british black metal,METAL
british blues,BLUES
british brass band,CLASSICAL
british choir,CLASSICAL
british comedy,OTHER
british dance band,OTHER
british folk,FOLK
british indie rock,ROCK
british invasion,POP
british jazz,JAZZ
british modern classical,CLASSICAL
